Brand,Model,Version,Category,Year,Kms,Hp,Gear_type,Fuel_type,Fuel_cons,Doors,ZIP,Province,Price_EUR
Rover,25,1.6 Classic,Small,2001,171720,109,Manual,Petrol,6.0,5,28045,Madrid,1290
SEAT,Toledo,2.0 GTI,Small,1994,114000,114,Manual,Petrol,9.0,5,28939,Madrid,1499
Fiat,Grande Punto,1.9Mjt Sport 130,Small,2005,240000,129,Manual,Diesel,5.8,5,28891,Madrid,2500
Skoda,Octavia,1.9TDI Trend 105,Small,2007,255520,105,Manual,Diesel,5.0,5,28232,Madrid,2990
Opel,Astra,1.7CDTI Enjoy,Small,2011,200718,110,Manual,Diesel,4.7,5,28224,Madrid,4000
Audi,A3,2.0 FSI Ambiente Tiptronic,Small,2004,239000,150,Automatic,Petrol,7.7,5,28891,Madrid,4900
Honda,Civic,1.6i Vtec 110CV LS,Small,2004,91180,110,Manual,Petrol,6.6,5,28037,Madrid,5600
BMW,116,116i,Small,2007,176100,116,Manual,Petrol,7.5,5,28939,Madrid,6500
Volkswagen,Polo,1.4 TDI BMT Advance 55kW,Small,2014,91289,75,Manual,Diesel,3.4,5,28021,Madrid,7190
Toyota,Aygo,70 x-play,Small,2015,67129,72,Manual,Petrol,4.1,5,28021,Madrid,7190
Peugeot,iOn,,Small,2017,40221,67,Automatic,Electric,0.0,5,28944,Madrid,7490
Renault,Fluence,Z.E. Expression,Small,2013,38600,95,Automatic,Electric,0.0,5,28922,Madrid,7490
Volkswagen,Polo,1.6TDI Advance 90,Small,2011,158000,90,Manual,Diesel,4.2,5,28015,Madrid,7800
Volkswagen,Polo,1.4 TDI BMT Advance 66kW,Small,2016,91780,90,Manual,Diesel,3.4,5,28021,Madrid,7890
Citroen,C-Zero,Airdream Seduction,Small,2017,39343,67,Automatic,Electric,0.0,5,28021,Madrid,7950
Citroen,C-Zero,Airdream Seduction,Small,2017,41551,67,Automatic,Electric,0.0,5,28021,Madrid,7950
Citroen,C-Zero,Airdream Seduction,Small,2017,39421,67,Automatic,Electric,0.0,5,28045,Madrid,8050
Peugeot,208,1.2 VTi Active,Small,2013,97293,82,Manual,Petrol,4.5,5,28050,Madrid,8199
