Brand,Model,Version,Type,Year,Kms,Hp,Gear_type,Fuel_type,Fuel_cons,Doors,Colour,ZIP,Province,Seller,Price_EUR
Citroen,C3,1.4HDI Collection,small,2006,182510,68,Manual,Diesel,4.4,5,Beige,08950,Barcelona,Dealer,2400
Audi,A1,1.4 TFSI Attraction 92kW,small,2017,67478,125,Manual,Petrol,4.9,5,Beige,08097,Barcelona,Dealer,14990
Renault,Clio,1.4 Dynamique,small,2007,31510,98,Manual,Petrol,6.6,5,Beige,08227,Barcelona,Dealer,4950
Renault,ZOE,Intens 40 R90 68kW,small,2017,34985,92,Automatic,Electric,0.0,5,Beige,08241,Barcelona,Dealer,10830
MINI,Cooper S,,small,2006,83700,174,Manual,Petrol,6.2,5,Beige,08120,Barcelona,Dealer,9800
Opel,Corsa,1.4 Enjoy,small,2008,123867,90,Manual,Petrol,5.9,5,Beige,08227,Barcelona,Dealer,4650
Fiat,500,1.0 Hybrid Dolcevita 52kW,small,2021,10,71,Manual,Petrol,0.0,5,Beige,08030,Barcelona,Dealer,15200
Chevrolet,Cruze,1.6 16v LT+ Clima,small,2012,84632,124,Manual,Petrol,6.6,5,Beige,08227,Barcelona,Dealer,7950
Nissan,Micra,1.5dCi S&S Acenta 90,small,2019,71031,90,Manual,Diesel,4.1,5,Beige,08227,Barcelona,Dealer,11727
Skoda,Rapid/Spaceback,1.0 TSI Like 70kW,small,2019,63056,95,Manual,Petrol,4.4,5,Beige,08227,Barcelona,Dealer,13182
Audi,A1,Sportback 1.4 TFSI Adrenalin S-T 92kW,small,2017,2683,125,Automatic,Petrol,5.0,5,Beige,08100,Barcelona,Dealer,20090
Volvo,C30,T5 Summum,small,2007,149000,230,Manual,Petrol,8.7,5,Beige,08015,Barcelona,Dealer,10900
Citroen,C3,1.4i SX,small,2005,77000,75,Manual,Petrol,6.1,5,Beige,08820,Barcelona,Dealer,3695
Mercedes-Benz,A Class,180CDI BE Style 7G-DCT,small,2013,56788,109,Automatic,Diesel,4.1,5,Beige,08227,Barcelona,Dealer,17250
MINI,Cooper S,Aut.,small,2018,39000,192,Automatic,Petrol,5.4,5,Beige,08693,Barcelona,Dealer,22490
Kia,Picanto,1.2 Emotion,small,2012,28000,84,Manual,Petrol,4.5,5,Beige,08015,Barcelona,Dealer,6900
Skoda,Rapid/Spaceback,1.4TDI Ambition,small,2016,101030,90,Manual,Diesel,3.6,5,Beige,08227,Barcelona,Dealer,10047
Fiat,500,500e 87Kw La Prima,small,2021,3000,118,Automatic,Electric,0.0,5,Beige,08030,Barcelona,Dealer,27900
Hyundai,i30,1.4 MPI BD 25 Aniversario 100,small,2016,47593,101,Manual,Petrol,5.6,5,Beige,08903,Barcelona,Dealer,11390
Skoda,Rapid/Spaceback,1.4TDI Like,small,2016,115595,90,Manual,Diesel,3.6,5,Beige,08227,Barcelona,Dealer,9252
Audi,A1,Sportback 1.0 TFSI Adrenalin,small,2018,37955,95,Manual,Petrol,4.3,5,Beige,08206,Barcelona,Dealer,16200
Volvo,S40,2.4 Momentum,small,2004,206956,140,Manual,Petrol,8.4,5,Beige,08227,Barcelona,Dealer,4650
Fiat,500,1.2 Color Therapy,small,2015,24193,69,Manual,Petrol,5.1,5,Beige,08903,Barcelona,Dealer,9899
Skoda,Octavia,1.0 TSI Ambition 115,small,2018,24944,116,Manual,Petrol,4.5,5,Beige,08830,Barcelona,Dealer,15500
MINI,Cooper D,,small,2017,45000,116,Automatic,Diesel,3.8,5,Beige,08820,Barcelona,Dealer,16990
Mercedes-Benz,A Class,,small,2005,140000,95,Manual,Petrol,6.2,5,Beige,08227,Barcelona,Dealer,2800
Lancia,Ypsilon,0.9 Gold Stop&Start,small,2011,74000,86,Manual,Petrol,4.2,5,Beige,08940,Barcelona,Dealer,6900
Ford,Focus,2.0Ecoblue Active Aut. 150,small,2020,5000,150,Automatic,Diesel,4.5,5,Beige,08908,Barcelona,Dealer,26500
Renault,Megane,1.6dCi Energy Dynamique S&S 130,small,2013,102626,131,Manual,Diesel,4.0,5,Beige,08227,Barcelona,Dealer,9500
Fiat,Bravo,1.9Mjt Dynamic 120,small,2007,125000,120,Manual,Diesel,5.3,5,Beige,08820,Barcelona,Dealer,4400
Citroen,C3,1.4HDI XTR,small,2008,165000,68,Manual,Diesel,4.4,5,Beige,08820,Barcelona,Dealer,4499
Peugeot,208,1.4HDi Active,small,2013,103000,68,Manual,Diesel,3.8,5,Beige,08940,Barcelona,Dealer,7900
MINI,Cooper D,Cooper D,small,2015,199000,116,Manual,Diesel,3.8,5,Beige,08014,Barcelona,Dealer,10990
BMW,3 Series,318dA Gran Turismo,sedan,2014,48600,143,Automatic,Diesel,4.8,5,Beige,08097,Barcelona,Dealer,17990
Renault,Talisman,1.6dCi Energy Zen EDC 96kW,sedan,2017,93000,131,Automatic,Diesel,4.2,5,Beige,08097,Barcelona,Dealer,13490
