Year,Kms,Hp,Fuel_cons,Doors,Gear_type_Automatic,Gear_type_Manual,Fuel_type_CNG,Fuel_type_Diesel,Fuel_type_Electric,Fuel_type_Hybrid,Fuel_type_LPG,Fuel_type_Petrol,Type_cabrio,Type_coupe,Type_familiar,Type_minivan,Type_other,Type_sedan,Type_small,Type_suv,Type_van,Seller_Dealer,Seller_Private,Brand_encoded,Model_encoded,Colour_encoded,Province_encoded,Price_EUR
2006,182510,68,4.4,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10412.196983141082,8547.619047619048,15207.210251954823,22252.94124847001,2400
2017,67478,125,4.9,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,25546.556756756756,16731.591240875914,15207.210251954823,22252.94124847001,14990
2007,31510,98,6.6,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,11099.399408284024,9136.68,15207.210251954823,22252.94124847001,4950
2017,34985,92,0.0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11099.399408284024,10966.931096217702,15207.210251954823,22252.94124847001,10830
2006,83700,174,6.2,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,17251.958183990442,19240.75,15207.210251954823,22252.94124847001,9800
2008,123867,90,5.9,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,9915.299401197604,8330.035294117648,15207.210251954823,22252.94124847001,4650
2021,10,71,5.987094625390036,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,10886.36388508892,12089.74501992032,15207.210251954823,22252.94124847001,15200
2012,84632,124,6.6,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,10717.666666666666,7777.045454545455,15207.210251954823,22252.94124847001,7950
2019,71031,90,4.1,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,15693.285714285714,10886.095238095239,15207.210251954823,22252.94124847001,11727
2019,63056,95,4.4,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,13240.354497354498,10500.581818181818,15207.210251954823,22252.94124847001,13182
2017,2683,125,5.0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,25546.556756756756,16731.591240875914,15207.210251954823,22252.94124847001,20090
2007,149000,230,8.7,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,18253.76070528967,6876.777746097379,15207.210251954823,22252.94124847001,10900
2005,77000,75,6.1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,10412.196983141082,8547.619047619048,15207.210251954823,22252.94124847001,3695
