Brand,Model,Version,Category,Year,Kms,Hp,Gear_type,Fuel_type,Fuel_cons,Doors,ZIP,Province,Price_EUR
SEAT,Cordoba,1.9 TDi Sport 90,Small,2000,254000,90,Manual,Diesel,4.9,5,18195,Granada,980
Mercedes-Benz,A 170,170CDI Largo,Small,2003,230000,95,Manual,Diesel,4.9,5,18151,Granada,2500
Fiat,500,1.2 Lounge,Small,2013,59529,69,Manual,Petrol,5.1,5,18015,Granada,5900
Dacia,Sandero,1.5dCi SL Nómada 66kW,Small,2018,43267,90,Manual,Diesel,3.8,5,18003,Granada,10490
Alfa-Romeo,Giulietta,1.4 TB 120 Super,Small,2018,82900,120,Manual,Petrol,7.2,5,18230,Granada,12900
Ford,Focus,1.0 Ecoboost ST Line 125,Small,2019,32951,125,Manual,Petrol,4.6,5,18015,Granada,14990
BMW,320,320d,Sedan,2009,250000,177,Manual,Diesel,4.8,5,18640,Granada,5400
MINI,John Cooper Works,,Sedan,2017,29675,136,Manual,Petrol,5.0,5,18195,Granada,18500
Toyota,Corolla,1.8 125H FEEL! E-CVT,Sedan,2020,16474,122,Automatic,Hybrid,4.0,5,18014,Granada,20495
Toyota,Corolla,1.8 125H FEEL! E-CVT,Sedan,2020,20502,122,Automatic,Hybrid,4.0,5,18014,Granada,20495
Lexus,GS 300,300h Executive,Sedan,2017,94421,223,Automatic,Hybrid,4.8,5,18014,Granada,23900
Mercedes-Benz,E 350,C 350 Estate e,Wagon,2018,30890,279,Automatic,Hybrid,2.4,5,18320,Granada,33400
Alfa-Romeo,156,Sportwagon 2.4 JTD Distinctive,Wagon,2001,235350,140,Manual,Diesel,6.8,5,18195,Granada,1980
BMW,320,d Touring,Wagon,2015,149000,184,Manual,Diesel,4.7,5,18195,Granada,10200
Mercedes-Benz,B 200,200d,Minivan,2016,67000,136,Manual,Diesel,4.2,5,18100,Granada,17300
Toyota,Prius,Prius+ 1.8 Advance,Minivan,2010,118730,136,Automatic,Hybrid,4.9,5,18195,Granada,8400
Citroen,Xsara,Picasso 1.6i 95,Minivan,2001,131098,95,Manual,Petrol,7.5,5,18320,Granada,1900
Audi,A7,Sportback 3.0TDI S line quattro ed. S-T,Coupe,2011,152000,272,Automatic,Diesel,5.4,3,18195,Granada,23950
BMW,840,d xDrive,Coupe,2020,19500,320,Automatic,Diesel,6.2,3,18230,Granada,79990
Audi,RS Q8,RS TFSI quattro tiptronic,Coupe,2020,19900,600,Automatic,Petrol,12.1,3,18200,Granada,154900
BMW,425,425dA Cabrio Sport,Convertible,2017,62289,218,Automatic,Diesel,5.0,3,18195,Granada,26500
Peugeot,206,CC 1.6 Aut.,Convertible,2002,158706,109,Automatic,Petrol,6.9,3,18320,Granada,2700
Opel,Tigra,1.4 16v Edition,Convertible,2004,168254,90,Manual,Petrol,6.1,3,18320,Granada,3400
Peugeot,307,CC 2.0,Convertible,2005,135000,137,Manual,Petrol,8.2,3,18195,Granada,4450
Nissan,X-Trail,2.5 Elegance,Suv,2004,108900,165,Manual,Petrol,9.6,5,18195,Granada,3450
Nissan,Qashqai,1.2 DIG-T Acenta 4x2,Suv,2018,93459,116,Manual,Petrol,5.6,5,18015,Granada,14600
Toyota,C-HR,125H Advance,Suv,2018,84884,122,Automatic,Hybrid,4.0,5,18014,Granada,18495
Rover,25,1.6 Classic,Small,2001,171720,109,Manual,Petrol,6.0,5,28045,Madrid,1290
Audi,A3,1.9TDI Ambiente,Small,2001,312000,110,Manual,Diesel,4.9,5,28220,Madrid,1995
Volvo,S40,2.0D Kinetic,Small,2005,195000,136,Manual,Diesel,5.6,5,28946,Madrid,3200
Audi,A3,2.0 FSI Ambiente Tiptronic,Small,2004,239000,150,Automatic,Petrol,7.7,5,28891,Madrid,4900
Honda,Civic,1.6 S VTEC,Small,2004,91180,110,Manual,Petrol,6.6,5,28037,Madrid,5600
Fiat,Panda,1.3 Trekking 70kW,Small,2015,174000,95,Manual,Diesel,3.8,5,28342,Madrid,5700
Mitsubishi,Colt,CZT 1.5 16v Turbo,Small,2006,141000,150,Manual,Petrol,6.8,5,28936,Madrid,5999
Suzuki,Swift,1.3 DDis GL,Small,2011,116000,75,Manual,Diesel,4.2,5,28007,Madrid,6200
Volkswagen,up!,1.0 BMT Move 55kW,Small,2017,100249,75,Manual,Petrol,4.4,5,28021,Madrid,6590
Dacia,Sandero,0.9 TCE GLP Ambiance 66kW,Small,2018,134024,90,Manual,Compressed Natural Gas \(CNG\),4.9,5,28021,Madrid,6990
Fiat,Tipo,Sedán 1.3 Multijet II Easy,Small,2017,195348,95,Manual,Diesel,4.2,5,28021,Madrid,6990
Dacia,Sandero,0.9 TCE Stepway Ambiance 66kW,Small,2017,45000,90,Manual,Petrol,5.1,5,28224,Madrid,7490
Citroen,C3,1.6BlueHDi S&S Feel 75,Small,2017,64220,75,Manual,Diesel,3.6,5,28021,Madrid,7690
Citroen,C-Zero,Airdream Seduction,Small,2017,39343,67,Automatic,Electric,0.0,5,28021,Madrid,7950
Nissan,Micra,1.5dCi S&S Visia+ 90,Small,2018,150248,90,Manual,Diesel,4.1,5,28021,Madrid,7990
Citroen,C-Zero,Airdream Seduction,Small,2017,39244,67,Automatic,Electric,0.0,5,28045,Madrid,8050
SEAT,Leon,1.4 TGI GNC S&S Reference,Small,2016,175581,110,Manual,Compressed Natural Gas \(CNG\),5.4,5,28021,Madrid,8290
Renault,Megane,1.5dCi Energy Business 66kW,Small,2017,85725,90,Manual,Diesel,3.7,5,28021,Madrid,8390
Peugeot,308,1.5BlueHDi S&S Active 130,Small,2018,144524,131,Manual,Diesel,3.6,5,28021,Madrid,8690
Ford,Fiesta,1.25 Trend 82,Small,2015,24812,82,Manual,Petrol,5.2,5,28050,Madrid,8699
Renault,Clio,TCe Energy Limited 66kW,Small,2017,60000,90,Manual,Petrol,4.7,5,28224,Madrid,8990
