Year,Kms,Hp,Fuel_cons,Doors,Category_Convertible,Category_Coupe,Category_Minivan,Category_Sedan,Category_Small,Category_Suv,Category_Van,Category_Wagon,Gear_type_Automatic,Gear_type_Manual,Fuel_type_Compressed Natural Gas \(CNG\),Fuel_type_Diesel,Fuel_type_Electric,Fuel_type_Hybrid,Fuel_type_Petrol,Brand_encoded,Model_encoded,Colour_encoded,Province_encoded,Price_EUR
2017,24000,95,6.5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,11624.755364806866,11660.903614457831,15819.39518555667,36813.32432432433,10900
2020,14122,150,4.3,5,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,15357.711086226203,16418.168341708544,25942.62984273111,36813.32432432433,24200
2017,65290,110,3.9,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,26918.515603799187,18714.44970414201,25942.62984273111,36813.32432432433,19200
2018,54189,129,5.1,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,12803.411764705883,13193.843083869386,25942.62984273111,36813.32432432433,18900
2013,105300,159,6.6,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,18031.51702395965,15010.734375,22221.02281021898,36813.32432432433,19900
2020,9300,150,4.8,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,26918.515603799187,18714.44970414201,44498.7,36813.32432432433,34900
2014,101300,220,6.4,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,18031.51702395965,31068.587412446406,44498.7,36813.32432432433,22900
2005,147000,58,5.5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,14715.525050100201,5678.307238843237,44498.7,36813.32432432433,2795
2020,25000,116,3.8,5,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,28579.558624031008,16437.895833333332,24123.619593345655,36813.32432432433,24495
2020,14671,102,3.2,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,15619.18091286307,15040.133333333333,24123.619593345655,36813.32432432433,18490
2007,129000,90,5.9,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,10738.247881355932,9584.755319148937,24123.619593345655,36813.32432432433,3900
2021,10,99,5.595992204287643,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,11624.755364806866,11660.903614457831,29281.451690821257,36813.32432432433,16900
2020,5394,116,4.8,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,26918.515603799187,15095.810344827587,27100.51841004184,36813.32432432433,24000
2018,74977,116,4.1,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,26918.515603799187,18714.44970414201,27100.51841004184,36813.32432432433,20200
2009,67707,86,6.3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,15357.711086226203,16418.168341708544,27100.51841004184,36813.32432432433,6800
2020,18657,150,4.9,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,15357.711086226203,16418.168341708544,27100.51841004184,36813.32432432433,26600
2014,67140,82,4.6,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,11424.584479371317,10088.677631578947,27100.51841004184,36813.32432432433,8600
2021,1000,110,5.595992204287643,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,15357.711086226203,10332.830065359478,21731.35961383749,36813.32432432433,17500
2020,10045,116,4.6,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,15357.711086226203,10332.830065359478,21731.35961383749,36813.32432432433,20600
2020,1,120,7.0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,11624.755364806866,11660.903614457831,21731.35961383749,36813.32432432433,18900
2015,108368,75,3.5,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,15619.18091286307,15040.133333333333,18663.85356023287,36813.32432432433,10900
2016,108000,150,4.3,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,26918.515603799187,18714.44970414201,18370.367424242424,36813.32432432433,15500
2017,49123,82,4.5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,15619.18091286307,15040.133333333333,18370.367424242424,36813.32432432433,10400
2008,102000,68,4.2,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,13271.07512315271,10275.282352941176,18370.367424242424,36813.32432432433,4995
2020,400,150,0.0,5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,16479.117318435754,17423.380965434837,18370.367424242424,36813.32432432433,26990
2018,42692,95,4.3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,26918.515603799187,15095.810344827587,20621.098532494758,36813.32432432433,15400
2019,84945,150,4.8,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,15357.711086226203,16418.168341708544,20621.098532494758,36813.32432432433,19900
2020,18706,150,4.2,5,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,28579.558624031008,18792.473684210527,20621.098532494758,36813.32432432433,28495
2015,177000,190,5.0,5,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,26918.515603799187,19818.70764119601,15819.39518555667,36813.32432432433,16900
2018,76300,265,4.5,5,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,28579.558624031008,21487.954547174813,25942.62984273111,36813.32432432433,34900
2015,87000,163,4.3,5,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,28579.558624031008,16928.746987951807,24123.619593345655,36813.32432432433,24900
2016,124000,136,3.8,5,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,10738.247881355932,12288.591463414634,21731.35961383749,36813.32432432433,12900
2003,211000,476,12.9,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,29532.89401165872,23756.671680575684,21731.35961383749,36813.32432432433,16000
2016,125400,110,3.5,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,18031.51702395965,15973.84196185286,25942.62984273111,36813.32432432433,11800
2018,54800,116,3.9,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,15357.711086226203,16418.168341708544,25942.62984273111,36813.32432432433,14990
2016,78370,110,3.7,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,11611.048120300751,15913.977272727272,25942.62984273111,36813.32432432433,15500
2019,76950,194,4.7,5,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,29532.89401165872,24137.123711340206,24123.619593345655,36813.32432432433,32900
2021,7000,150,3.7,5,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,15357.711086226203,16418.168341708544,27100.51841004184,36813.32432432433,27200
2019,32500,450,9.2,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,26918.515603799187,73269.27925943618,27100.51841004184,36813.32432432433,73700
2017,111850,272,4.3,5,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,26918.515603799187,23392.097902097903,21731.35961383749,36813.32432432433,33600
2010,199000,105,4.4,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,18031.51702395965,15644.752100840336,21731.35961383749,36813.32432432433,5990
2021,25,190,4.8,5,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,19726.517699115044,31773.13635755783,18663.85356023287,36813.32432432433,40490
2021,15122,150,5.3,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,15357.711086226203,16418.168341708544,20621.098532494758,36813.32432432433,24900
2017,90572,116,3.9,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,15357.711086226203,16418.168341708544,20621.098532494758,36813.32432432433,12900
2010,220000,109,4.5,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,13271.07512315271,12338.237903225807,20621.098532494758,36813.32432432433,3990
2018,43138,170,0.0,5,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,28579.558624031008,24005.249998607265,25942.62984273111,36813.32432432433,20900
2016,147684,111,4.5,5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,15152.037647058823,11872.045454545454,24123.619593345655,36813.32432432433,12600
2018,33400,131,5.9,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,12803.411764705883,14955.97619047619,27100.51841004184,36813.32432432433,16490
2011,204000,90,4.8,5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,15357.711086226203,5519.318078848788,27100.51841004184,36813.32432432433,5495
2007,240000,165,10.0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,14757.554945054944,5993.858399243294,21731.35961383749,36813.32432432433,3990
2019,24700,102,5.2,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,13271.07512315271,13068.843750000367,20621.098532494758,36813.32432432433,15490
2020,16840,450,10.0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,28579.558624031008,58821.333261059684,25942.62984273111,36813.32432432433,89990
2019,24900,411,9.2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,28579.558624031008,58821.333261059684,25942.62984273111,36813.32432432433,58900
