Brand,Model,Version,Category,Year,Kms,Hp,Gear_type,Fuel_type,Fuel_cons,Doors,Colour,ZIP,Province,Price_EUR
Fiat,Tipo,1.4 Easy,Small,2017,24000,95,Manual,Petrol,6.5,5,Beige,43001,Tarragona,10900
SEAT,Leon,2.0TDI CR S&S FR Fast Edition DSG7 150,Small,2020,14122,150,Automatic,Diesel,4.3,5,Blue,43006,Tarragona,24200
Audi,A3,Sportback 1.6TDI Design Edition 81kW,Small,2017,65290,110,Manual,Diesel,3.9,5,Blue,43006,Tarragona,19200
Honda,Civic,1.0 VTEC Turbo Elegance Navi,Small,2018,54189,129,Manual,Petrol,5.1,5,Blue,43204,Tarragona,18900
Volkswagen,Beetle,1.4 TSI Sport 160,Small,2013,105300,159,Manual,Petrol,6.6,5,Brown,43001,Tarragona,19900
Audi,A3,Sportback 35 TFSI S line S tronic,Small,2020,9300,150,Automatic,Petrol,4.8,5,Yellow,43006,Tarragona,34900
Volkswagen,Golf GTI,2.0 TSI DSG 220,Small,2014,101300,220,Automatic,Petrol,6.4,5,Yellow,43001,Tarragona,22900
Hyundai,Atos,Prime 1.1 GLS,Small,2005,147000,58,Manual,Petrol,5.5,5,Yellow,43204,Tarragona,2795
BMW,116,116dA Business,Small,2020,25000,116,Automatic,Diesel,3.8,5,Grey,43204,Tarragona,24495
Peugeot,208,1.5 BlueHDi S&S Allure 100,Small,2020,14671,102,Manual,Diesel,3.2,5,Grey,43204,Tarragona,18490
Opel,Corsa,1.4 Enjoy,Small,2007,129000,90,Manual,Petrol,5.9,5,Grey,43870,Tarragona,3900
Fiat,Tipo,Sedán 1.0 City Life,Small,2021,10,99,Manual,Petrol,5.595933050212341,5,Green,43870,Tarragona,16900
Audi,A1,Sportback 30 TFSI Adrenalin,Small,2020,5394,116,Manual,Petrol,4.8,5,Red,43006,Tarragona,24000
Audi,A3,Sportback 1.6TDI Design Edition 85kW,Small,2018,74977,116,Manual,Diesel,4.1,5,Red,43006,Tarragona,20200
SEAT,Leon,1.4 Emoción,Small,2009,67707,86,Manual,Petrol,6.3,5,Red,43206,Tarragona,6800
SEAT,Leon,1.5 TSI S&S FR 150,Small,2020,18657,150,Manual,Petrol,4.9,5,Red,43500,Tarragona,26600
Citroen,C3,1.2 VTi Collection,Small,2014,67140,82,Manual,Petrol,4.6,5,Red,43006,Tarragona,8600
SEAT,Ibiza,1.0 TSI S&S Style 110,Small,2021,1000,110,Manual,Petrol,5.595933050212341,5,Black,43830,Tarragona,17500
SEAT,Ibiza,1.0 TSI S&S FR 115,Small,2020,10045,116,Manual,Petrol,4.6,5,Black,43006,Tarragona,20600
Fiat,Tipo,1.4 T-Jet Lounge,Small,2020,1,120,Manual,Petrol,7.0,5,Black,43006,Tarragona,18900
Peugeot,208,1.6 BlueHDi Active 75,Small,2015,108368,75,Manual,Diesel,3.5,5,Silver,43206,Tarragona,10900
Audi,A3,Sportback 2.0TDI S Line Edition 110kW,Small,2016,108000,150,Manual,Diesel,4.3,5,Burgundy,43760,Tarragona,15500
Peugeot,208,1.2 PureTech Style S 82,Small,2017,49123,82,Manual,Petrol,4.5,5,Burgundy,43100,Tarragona,10400
Ford,Fiesta,1.40TDCi Trend,Small,2008,102000,68,Manual,Diesel,4.2,5,Burgundy,43204,Tarragona,4995
Nissan,Leaf,40 kWh Tekna,Small,2020,400,150,Automatic,Electric,5.595933050212341,5,Burgundy,43870,Tarragona,26990
Audi,A1,Sportback 1.0 TFSI Adrenalin,Small,2018,42692,95,Manual,Petrol,4.3,5,White,43006,Tarragona,15400
SEAT,Leon,1.5 EcoTSI S&S FR 150,Small,2019,84945,150,Manual,Petrol,4.8,5,White,43006,Tarragona,19900
BMW,118,118dA,Small,2020,18706,150,Automatic,Diesel,4.2,5,White,43204,Tarragona,28495
Audi,A4,2.0TDI CD S line edition Multitronic 190,Sedan,2015,177000,190,Automatic,Diesel,5.0,5,Beige,43890,Tarragona,16900
BMW,530,530dA,Sedan,2018,76300,265,Automatic,Diesel,4.5,5,Blue,43004,Tarragona,34900
BMW,320,320dA EfficientDynamics,Sedan,2015,87000,163,Automatic,Diesel,4.3,5,Grey,43001,Tarragona,24900
Opel,Insignia,1.6CDTI ecoFlex S&S Selective 136,Sedan,2016,124000,136,Manual,Diesel,3.8,5,Black,43001,Tarragona,12900
Mercedes-Benz,E 55 AMG,Aut.,Sedan,2003,211000,476,Automatic,Petrol,12.9,5,Black,43760,Tarragona,16000
Volkswagen,Golf,Variant 1.6TDI CR BMT Bluemotion 110,Wagon,2016,125400,110,Manual,Diesel,3.5,5,Blue,43500,Tarragona,11800
SEAT,Leon,ST 1.6TDI CR S&S Style 115,Wagon,2018,54800,116,Manual,Diesel,3.9,5,Blue,43830,Tarragona,14990
Renault,Talisman,S.T. 1.5dCi Energy ECO2 Intens 81kW,Wagon,2016,78370,110,Manual,Diesel,3.7,5,Blue,43206,Tarragona,15500
Mercedes-Benz,C 220,Estate 220d 9G-Tronic,Wagon,2019,76950,194,Automatic,Diesel,4.7,5,Grey,43004,Tarragona,32900
SEAT,Leon,ST 2.0TDI CR S&S FR Launch Pack L DSG-7 150,Wagon,2021,7000,150,Automatic,Diesel,3.7,5,Red,43500,Tarragona,27200
Audi,RS4,Avant TFSI quattro tiptronic,Wagon,2019,32500,450,Automatic,Petrol,9.2,5,Red,43006,Tarragona,73700
Audi,A6,Avant 3.0TDI Black line ed. Q. S-T 200kW,Wagon,2017,111850,272,Automatic,Diesel,4.3,5,Black,43006,Tarragona,33600
Volkswagen,Passat,Variant 1.6TDI Advance BMT,Wagon,2010,199000,105,Manual,Diesel,4.4,5,Black,43850,Tarragona,5990
Volvo,V90,D4 Business Plus Aut. 190,Wagon,2021,25,190,Automatic,Diesel,4.8,5,Silver,43006,Tarragona,40490
SEAT,Leon,ST 1.5 TSI S&S FR 150,Wagon,2021,15122,150,Manual,Petrol,5.3,5,White,43006,Tarragona,24900
SEAT,Leon,ST 1.6TDI CR S&S Style 115,Wagon,2017,90572,116,Manual,Diesel,3.9,5,White,43100,Tarragona,12900
Ford,Focus,S.Br. 1.6TDCi Trend 109,Wagon,2010,220000,109,Manual,Diesel,4.5,5,White,43850,Tarragona,3990
BMW,i3,94Ah BEV,Minivan,2018,43138,170,Automatic,Electric,5.595933050212341,5,Blue,43204,Tarragona,20900
Toyota,Verso,115D Advance 5pl.,Minivan,2016,147684,111,Manual,Diesel,4.5,5,Grey,43500,Tarragona,12600
Honda,Jazz,1.5 i-VTEC Dynamic Navi,Minivan,2018,33400,131,Manual,Petrol,5.9,5,Red,43204,Tarragona,16490
SEAT,Altea,1.6TDI CR Emoción 90,Minivan,2011,204000,90,Manual,Diesel,4.8,5,Red,43204,Tarragona,5495
Mitsubishi,Grandis,2.4 MIVEC Instyle Aut.,Minivan,2007,240000,165,Automatic,Petrol,10.0,5,Black,43850,Tarragona,3990
Ford,Tourneo Courier,1.0 Ecoboost Sport,Minivan,2019,24700,102,Manual,Petrol,5.2,5,White,43830,Tarragona,15490
BMW,M2,CS,Coupe,2020,16840,450,Manual,Petrol,10.0,3,Blue,43204,Tarragona,89990
BMW,M2,M2A Competition,Coupe,2019,24900,411,Automatic,Petrol,9.2,3,Blue,43004,Tarragona,58900
BMW,Z4,sDrive20iA,Coupe,2014,90000,184,Automatic,Petrol,6.8,3,Blue,43850,Tarragona,23990
BMW,M4,Coupé Competition,Coupe,2021,1,510,Automatic,Petrol,5.595933050212341,3,Blue,43204,Tarragona,119900
Audi,A7,Sportback 3.0TDI quattro S-Tronic 245,Coupe,2011,100500,245,Automatic,Diesel,6.0,3,Brown,43205,Tarragona,24900
Ferrari,488,Pista,Coupe,2019,1500,721,Automatic,Petrol,11.4,3,Yellow,43883,Tarragona,429900
Audi,RS Q8,TFSI quattro tiptronic,Coupe,2020,40750,600,Automatic,Petrol,12.1,3,Grey,43006,Tarragona,149000
BMW,X4,M40dA,Coupe,2018,53900,326,Automatic,Diesel,6.4,3,Grey,43004,Tarragona,53900
BMW,X4,M40dA,Coupe,2018,49800,326,Automatic,Diesel,6.4,3,Red,43004,Tarragona,52900
Audi,A7,Sportback 3.0TDI S line quattro ed. S-T,Coupe,2017,102580,272,Automatic,Diesel,5.4,3,Black,43006,Tarragona,35600
BMW,X4,M40dA,Coupe,2018,15030,326,Automatic,Diesel,6.4,3,Black,43004,Tarragona,55900
BMW,M2,CS,Coupe,2020,16840,450,Manual,Petrol,10.0,3,Blue,43204,Tarragona,89990
BMW,M2,M2A Competition,Coupe,2019,24900,411,Automatic,Petrol,9.2,3,Blue,43004,Tarragona,58900
BMW,Z4,sDrive20iA,Coupe,2014,90000,184,Automatic,Petrol,6.8,3,Blue,43850,Tarragona,23990
BMW,M4,Coupé Competition,Coupe,2021,1,510,Automatic,Petrol,5.595933050212341,3,Blue,43204,Tarragona,119900
Audi,A7,Sportback 3.0TDI quattro S-Tronic 245,Coupe,2011,100500,245,Automatic,Diesel,6.0,3,Brown,43205,Tarragona,24900
Ferrari,488,Pista,Coupe,2019,1500,721,Automatic,Petrol,11.4,3,Yellow,43883,Tarragona,429900
Audi,RS Q8,TFSI quattro tiptronic,Coupe,2020,40750,600,Automatic,Petrol,12.1,3,Grey,43006,Tarragona,149000
BMW,X4,M40dA,Coupe,2018,53900,326,Automatic,Diesel,6.4,3,Grey,43004,Tarragona,53900
BMW,X4,M40dA,Coupe,2018,49800,326,Automatic,Diesel,6.4,3,Red,43004,Tarragona,52900
Audi,A7,Sportback 3.0TDI S line quattro ed. S-T,Coupe,2017,102580,272,Automatic,Diesel,5.4,3,Black,43006,Tarragona,35600
BMW,X4,M40dA,Coupe,2018,15030,326,Automatic,Diesel,6.4,3,Black,43004,Tarragona,55900
Audi,A5,Coupé 1.8 TFSI S line limited Multitronic,Coupe,2010,110000,160,Automatic,Petrol,7.2,3,Black,43850,Tarragona,12990
BMW,430,430dA Gran Coupé xDrive,Coupe,2018,63900,258,Automatic,Diesel,5.9,3,Black,43004,Tarragona,35900
BMW,120,120d Coupé,Coupe,2010,120000,177,Manual,Diesel,4.8,3,Black,43850,Tarragona,10990
Mercedes-Benz,GLE 350,Coupé 350d 4Matic Aut.,Coupe,2017,42000,258,Automatic,Diesel,7.2,3,Silver,43003,Tarragona,52000
Audi,A5,Coupé 2.0TDI S Line 140kW,Coupe,2018,45000,190,Manual,Diesel,4.3,3,Burgundy,43830,Tarragona,29900
BMW,218,218d Gran Coupé,Coupe,2021,8600,150,Automatic,Diesel,4.2,3,White,43204,Tarragona,35990
Mercedes-Benz,CLA 220,220d 7G-DCT,Coupe,2018,56000,170,Automatic,Diesel,5.4,3,White,43006,Tarragona,29990
Audi,A5,Cabrio 3.0TDI Multitronic,Convertible,2014,183000,204,Automatic,Diesel,5.2,3,Blue,43204,Tarragona,18000
BMW,M3,M3 Cabriolet,Convertible,1994,120000,286,Manual,Petrol,5.595933050212341,3,Blue,43890,Tarragona,29800
Peugeot,206,CC 2.0,Convertible,2002,160000,137,Manual,Petrol,8.0,3,Grey,43850,Tarragona,1990
Volkswagen,Beetle,Cabrio 2.0TDI Design 81kW,Convertible,2017,72704,110,Manual,Diesel,4.4,3,Red,43006,Tarragona,20500
Audi,A5,Cabrio 3.0TDI quattro S-Tronic,Convertible,2010,178000,241,Automatic,Diesel,6.8,3,Black,43850,Tarragona,15990
Fiat,500,500C 1.2 Lounge,Convertible,2011,53000,69,Manual,Petrol,5.1,3,White,43830,Tarragona,7250
Citroen,C3 Aircross,Puretech S&S Feel 110,Suv,2019,10115,110,Manual,Petrol,5.0,5,Beige,43204,Tarragona,14990
Dacia,Duster,1.5dCi Laureate 110,Suv,2013,142600,110,Manual,Diesel,5.3,5,Beige,43205,Tarragona,9000
Lexus,RX 400,h President,Suv,2008,297000,272,Automatic,Hybrid,8.1,5,Beige,43890,Tarragona,9900
SEAT,Arona,1.0 TSI S&S Style 110,Suv,2021,201,110,Manual,Petrol,5.595933050212341,5,Blue,43006,Tarragona,21500
Cupra,Formentor,2.0 TSI Launch Edition Gris Graphene DSG 4Drive,Suv,2021,9544,310,Automatic,Petrol,7.7,5,Blue,43006,Tarragona,47500
Kia,Niro,1.6 HEV Drive,Suv,2019,29000,141,Automatic,Hybrid,5.595933050212341,5,Brown,43870,Tarragona,18950
Nissan,Qashqai,1.5dCi Tekna 4x2,Suv,2017,37960,110,Manual,Diesel,3.8,5,Brown,43206,Tarragona,19499
BMW,X2,sDrive 18d (4.75),Suv,2020,20500,150,Automatic,Diesel,4.6,5,Yellow,43204,Tarragona,34975
